text,sentiment
I`m hungry  wife is at a Bodyshop Party and is bringing a takeaway home with her - how much longer will the party go on?,neutral
 Invite them to your house instead,neutral
 I`m a bit Ben`s Thai-ed out,neutral
  #stackeoverflow  http://bit.ly/13Nfk1,neutral
Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving,neutral
_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??),neutral
 *points at the gear question I just posted* I cant get the rest of my Dreadweave set,neutral
" You remind me so much of a Omaha Girl, that I use to date.  I guess it all in the Jeans, (Calvin Kleins is what she wore).",neutral
My laptop grew speakers. Now I can watch Charlie with the sound on,neutral
deadlines!,neutral
 we won`t be home till like next month,neutral
easties you can go there anytime,neutral
" lemme guess - you ran 5 miles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?",neutral
 yep,neutral
Anyone want to buy me this anthropomorphic planter? http://tinyurl.com/m6sru3 Only available till the 31st,neutral
"It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare.",neutral
Woke up and there was sun! And then it started to rain,neutral
 and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,neutral
check out the flyer i designed for the notary and retrograde: http://rachellovespeace.blogspot.com let me know what you think,neutral
"at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww",neutral
awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..,neutral
 Bryan hasn`t replied about wingnuts,neutral
Watching southpark for another 20 minutes,neutral
Tried on all the shoes in new look,neutral
its too early  i wanna go back to sleeep,neutral
 oh wow...hope he`s ok  u take him 2 the vet?,neutral
" He died.  Wait, what about Magic Jack? I just read it.",neutral
i`ve just woken up,neutral
Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.,neutral
@ gadgetopia need to DM you but you`re not following me.   Will send email.,neutral
got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.,neutral
 I`ll be listening!,neutral
 oh no....u don`t have to hit him up. He had a family emergency so there was a lil delay. Just can`t wait to see them,neutral
sitting at home doing nothing. gonna be like this all weekend,neutral
 flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit though!,neutral
I think i should go to sleep considering i hav to b up on 3hrs....,neutral
  If I told you how often I wash my hair you would never speak to me again,neutral
 ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???,neutral
I am going to see how long I can do this for.,neutral
PRD take a long time to review!,neutral
 why thank you. I might just take you up on your offer,neutral
 Mitchel you have no idea how much I want to call you!! but it costs loads to call from england!!!,neutral
 Night!,neutral
Too warm!!!,neutral
Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm,neutral
  well hit me and we can see...it depends then,neutral
shower time!!!!!,neutral
"Gotta drop off some car parts for a buddy to press out, then to the dentist!    http://yfrog.com/0a7v3j",neutral
 i cant call  im at work,neutral
 I am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,neutral
doesnt have a hangover  and is getting ready for a good ol` english fry up,neutral
Waiting to put my story about Stereo Skyline up. Don`t know where to put it. BOOOO,neutral
Working now,neutral
Just at Starbucks with Farrah!,neutral
@ ginniejean there`s a lot of mojo all over the place...  yes.,neutral
third date went well....moving on to fourth!!!!!!,neutral
is finally starting her assignments,neutral
_1 yeah we only went for 5 days  im trying to get back in november with my mom for super soak stars weekend,neutral
" Okay, make sure he`s alright kk? Cuidalo. Let him know he`s a got friend in us aha..",neutral
It will if I do it in a round about way. I ahve to copy the public contacts into my personal contacts first.  no big deal,neutral
trying to figure it out,neutral
 _bob7 I`ll update you. I had to leave him at the vet for tests and xrays.,neutral
Went to see hannah montana movie on saturday  loved it .... still cant work twitter out though,neutral
well paisley has one of those cone things around her head...SO funny but I feel bad for her,neutral
 been there done that. It always ended up with me selling the machine and going back to my mac,neutral
is sitting thru the boring bits in Titanic waiting for the good bit to start in couple of hours,neutral
http://twitpic.com/4jken - fire and urban at rock challenge,neutral
 well now i do,neutral
  250E!!! CRAZZYYYY ! But just this summer !!!  cuz Ci are very close to RD! :s,neutral
"Morning tweeple,way to early again",neutral
  i can`t.,neutral
"strongly agrees with Jason about Wolverine, but not about Hugh Jackman.  Sorry. No kids for this Mouse.",neutral
 you okay bby?,neutral
pulled up @ walmart aunt got out went in I fell asleep 2 hours later.... were r you?!  lol,neutral
Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with,neutral
Woke up at 7:50 then fell back to sleep. Woke up at 8:50 and back to sleep again. Woke up at 9:50 and I`m staying awake! MORNING!,neutral
" Just been in that kind of mood, not reason at all. Lol, but I`ll try not to be too mushy around you!  I can behave!",neutral
and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland,neutral
 I could get away with it. dare me? I`ll go buy it tomorrow,neutral
"Ok, back to packing. Have been sitting in car charging phone as charger was left @ home as well",neutral
"Baby baby, it`s gonna be all right when I`m by your side and the whole world turns against you... I ? it when my Ipod randoms BSB songs",neutral
 ...you are kickable.,neutral
"_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there",neutral
Just finished watching 'Marley and Me',neutral
" Everyone seems to love it, but it felt kinda lazy and repetative to me.  I was really disappointed.",neutral
Roll on Thursday,neutral
"Dadgum, I think this nations shipping needs have shut down completely. still no freight for carriers out there.",neutral
cavs got lucky 2night  lol but lebron took over and killed em another triple double,neutral
  as long as you have someone to make out with    lol,neutral
" You arent following me, so i cant send you a DM..",neutral
 I picked up a taco over lunch... you got a guitar.,neutral
'Up' is all sold out!!,neutral
_gd whoaa kinda hard :O that one that you think will be interesting enough to tell,neutral
Listening 2 music @ home all alone lol  who wants 2 come over & hang with me LOL!!,neutral
" or so a month. I put my 2 week`s notice in a little over a week ago, my last day is this friday!",neutral
oh yea mspacers my boy just hooked up my page  it looks kewl at least i think so and it only took him 5 minutes www.myspace.com/missmickey,neutral
 yes please  and if you`re gone i might actually get some work done lol,neutral
???-?? ? youtube ? ????,neutral
calling mum too ask if she can by ice-cream,neutral
"_ having a very lazy day, playing xbox and drinking tea",neutral
My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I`m miss him    http://twitpic.com/66pn1,neutral
My legs are killing me now.  but i know it`s a good pain all in all.,neutral
ready to go home,neutral
need to push diet to last level. Not too good last week lost 1 lb. . Better than a gain,neutral
My back is killing me...  It won`t keep me from dropping it low...hope I got someone to pick it back up tho... LOL,neutral
I am at my grandparents place,neutral
hi from chile!!! It`s 9 deg C  winter`s coming....cant wait for cali sun.,neutral
 I was born there,neutral
"so glad it is friday  two classes, then lazy afternoon. too bad it isnt nice and warm out today",neutral
_Aid16 Goodnight!,neutral
 haha i will remember that  ****,neutral
" will do  hee after exams, i`ll give u plenty of shows. HAHA hopeless me",neutral
" Awww, it does remind me of getting ready for the ball.",neutral
_bishop  sez need to get u to look at my flights again  will email ur work tonite,neutral
"_starr Yep, the Hawkesbury Classic starts at Windsor, home of said DJ",neutral
at the redi med. getting checked for strep throat.,neutral
I`m either always on the train or at work,neutral
 he`s not logging in yet.  and i doubt if he will check his his replies here in twitter. but we must keep on trying!,neutral
Very content with my life at the moment,neutral
" thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing.",neutral
" esther rhymes with: investor, tester, jester, pester, polyester, semester, sylvester, requester... just to name a few",neutral
Last night in Australia,neutral
i was an extra. got ready for work for nothing. studying all night,neutral
it`s Mothers Day today,neutral
_i_am_jes YAY! congrats! i`m afraid to check my grades!,neutral
Same Difference Today  going to go and have a shower then get ready!,neutral
??????? #bash ?? ??????? ????????? ????,neutral
" i guess your cooler than me, tony hawk never replied to me",neutral
Wishing I could kidnap  from work,neutral
I ran out of Eclipse mints,neutral
 tweeten maar,neutral
" need some more enthu movie guys for that. Right now it`s just you,  and @_Anshul",neutral
No... have to go on cruches next 2 weeks,neutral
 im back on twitter.,neutral
looked up weather for greece this weekend....80 and sunny OMGZ,neutral
 YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I`ll come prepared!,neutral
" ah! well, I`ll see if I can find u later in the week.  I am tempted to look at Leica`s this week. LOL. We could go check it out.",neutral
 babe u aint been reading my tweets- my phone has fallen apart. My new on comes nxt wk. The track ball keeps fallin out my phone,neutral
  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy<3 love that dog,neutral
_s make me tea pleaseeeeeeeeeee,neutral
 classes. n bout to make sum breakfast..,neutral
Sports car + curb = flat tire.,neutral
"Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjdjc",neutral
 Yeah. It totally sucks.  I hate not being able to breathe! Thanks for the ff!,neutral
" no, i do better with people i don`t know   you`re going to chiodos tonight, right? just kill something for me.",neutral
 While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,neutral
 Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,neutral
" even if I was drunk, I`d think about using a fake/temporary mail address",neutral
Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,neutral
wow i have no friends on twitter,neutral
 my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,neutral
Drink #2: And at 12:45pm when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,neutral
uploading pictures on myspace,neutral
" but it was kinda funny, sorry. ur still my favorite tho",neutral
 LoL Clever I`m Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24,neutral
"  I think your friend is thinking of Jonathan, not Danny",neutral
just got back from donating blood,neutral
 another purse? Need to see photos.,neutral
   I`m not leaving yet!,neutral
 What??  Nooooooooo      There goes my weekend!,neutral
Listening to dashboard confessional & counting down the days until the  concert on May 16th with ,neutral
I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,neutral
"well it`s not done yet ! 1 more thing left huaaahhhhh ! jupaa, resaaaa awas kaliaaannn !",neutral
" hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",neutral
 omg evie. we have to do our plan for hot 30 tomorrow night,neutral
 I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao   I`m kidding!!,neutral
is wondering what I did to get on the 'do not respond' list,neutral
Jaydiohead 'No Karma' ? http://twt.fm/91610 #musicmonday This is not the android I was looking for. But it`ll do.,neutral
" I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on",neutral
http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,neutral
"Now, lets do funkey stuff, talking with magento, through xmlrpc with codeignite and output with amf (Zend) to flash",neutral
"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",neutral
_tah oh no.  *hugs*,neutral
Time flies...and i never got it all right. Why oh why?,neutral
 you have no interview today?,neutral
Date movie with Nate. Most likely Wolverine.,neutral
She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt.   Can`t go to them = out of luck,neutral
he wasn`t there today   my free day from when the bell rang and wen it rang at the end was okayy..but after,neutral
 aaaaaaaahhhhhhhh I hate the Internet  When will people learn 'native widgets are always best',neutral
 he didn`t know there was going to be a test,neutral
 i need to get tickets though  idk how that is gonna happen,neutral
Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,neutral
